"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 07 14:44:50 UTC 2024","Sun Jan 07 14:44:50 UTC 2024","0","","arrays-tasks","","arrays-tasks","sumArrays should return new array where each element is the sum of the corresponding elements from two arrays","sumArrays should return new array where each element is the sum of the corresponding elements from two arrays",""
"passed","Sun Jan 07 14:44:50 UTC 2024","Sun Jan 07 14:44:50 UTC 2024","0","","arrays-tasks","","arrays-tasks","distinct should return an array of unique items from the specified array","distinct should return an array of unique items from the specified array",""
"passed","Sun Jan 07 14:44:50 UTC 2024","Sun Jan 07 14:44:50 UTC 2024","0","","arrays-tasks","","arrays-tasks","getStringsLength should return an array containing the lengths of each string","getStringsLength should return an array containing the lengths of each string",""
"passed","Sun Jan 07 14:44:50 UTC 2024","Sun Jan 07 14:44:50 UTC 2024","0","","strings-tasks optimal implementation","","strings-tasks optimal implementation","optimal implementation of getHead","optimal implementation of getHead",""
"passed","Sun Jan 07 14:44:50 UTC 2024","Sun Jan 07 14:44:50 UTC 2024","0","","arrays-tasks","","arrays-tasks","shiftArray should return the shifted array","shiftArray should return the shifted array",""
"passed","Sun Jan 07 14:44:50 UTC 2024","Sun Jan 07 14:44:50 UTC 2024","0","","arrays-tasks","","arrays-tasks","swapHeadAndTail should swap the head and tail of the array","swapHeadAndTail should swap the head and tail of the array",""
"passed","Sun Jan 07 14:44:50 UTC 2024","Sun Jan 07 14:44:50 UTC 2024","0","","strings-tasks optimal implementation","","strings-tasks optimal implementation","optimal implementation of selectMany","optimal implementation of selectMany",""
"passed","Sun Jan 07 14:44:50 UTC 2024","Sun Jan 07 14:44:50 UTC 2024","2","","arrays-tasks","","arrays-tasks","getIntervalArray should return the array of integers from start to end (inclusive)","getIntervalArray should return the array of integers from start to end (inclusive)",""
"passed","Sun Jan 07 14:44:50 UTC 2024","Sun Jan 07 14:44:50 UTC 2024","0","","arrays-tasks","","arrays-tasks","getFalsyValuesCount should return the number of falsy value in the specified array","getFalsyValuesCount should return the number of falsy value in the specified array",""
"passed","Sun Jan 07 14:44:50 UTC 2024","Sun Jan 07 14:44:50 UTC 2024","0","","arrays-tasks","","arrays-tasks","createNDimensionalArray should return an n-dimensional array filled with zeros","createNDimensionalArray should return an n-dimensional array filled with zeros",""
"passed","Sun Jan 07 14:44:50 UTC 2024","Sun Jan 07 14:44:50 UTC 2024","1","","strings-tasks optimal implementation","","strings-tasks optimal implementation","optimal implementation of doubleArray","optimal implementation of doubleArray",""
"passed","Sun Jan 07 14:44:50 UTC 2024","Sun Jan 07 14:44:50 UTC 2024","1","","arrays-tasks","","arrays-tasks","sortDigitNamesByNumericOrder should sort digit names by its numeric value","sortDigitNamesByNumericOrder should sort digit names by its numeric value",""
"passed","Sun Jan 07 14:44:50 UTC 2024","Sun Jan 07 14:44:50 UTC 2024","0","","strings-tasks optimal implementation","","strings-tasks optimal implementation","optimal implementation of isValueEqualsIndex","optimal implementation of isValueEqualsIndex",""
"passed","Sun Jan 07 14:44:50 UTC 2024","Sun Jan 07 14:44:50 UTC 2024","0","","arrays-tasks","","arrays-tasks","getElementByIndices should return an element from array by specified indexes","getElementByIndices should return an element from array by specified indexes",""
"passed","Sun Jan 07 14:44:50 UTC 2024","Sun Jan 07 14:44:50 UTC 2024","1","","arrays-tasks","","arrays-tasks","toStringList should return the string list of passed arguments","toStringList should return the string list of passed arguments",""
"passed","Sun Jan 07 14:44:50 UTC 2024","Sun Jan 07 14:44:50 UTC 2024","0","","arrays-tasks","","arrays-tasks","isSameLength should return true if all strings have the same length, false otherwise","isSameLength should return true if all strings have the same length, false otherwise",""
"passed","Sun Jan 07 14:44:50 UTC 2024","Sun Jan 07 14:44:50 UTC 2024","1","","strings-tasks optimal implementation","","strings-tasks optimal implementation","optimal implementation of getStringsLength","optimal implementation of getStringsLength",""
"passed","Sun Jan 07 14:44:50 UTC 2024","Sun Jan 07 14:44:50 UTC 2024","0","","strings-tasks optimal implementation","","strings-tasks optimal implementation","optimal implementation of flattenArray","optimal implementation of flattenArray",""
"passed","Sun Jan 07 14:44:50 UTC 2024","Sun Jan 07 14:44:50 UTC 2024","1","","arrays-tasks","","arrays-tasks","getHexRGBValues should return an array of RGB Hex strings","getHexRGBValues should return an array of RGB Hex strings",""
"passed","Sun Jan 07 14:44:50 UTC 2024","Sun Jan 07 14:44:50 UTC 2024","0","","arrays-tasks","","arrays-tasks","insertItem should insert an item at specified position","insertItem should insert an item at specified position",""
